ID_CLIENT_SYNTH,RIB,Nom,Prénom,Solde_MAD,Statut_Compte,SIGNATURE_ID_REF,PATH_GENUINE,PATH_FORGED,ID_Beneficiaires_Payes
1,230950360000000000000039,El bakkali,Rahiba,39708.58,Inactif,001,backend/app/data/sign_data\001,backend/app/data/sign_data\001_forg,[907]
2,230189510000000123456701,El hassan,Farida,21325.3,Inactif,002,backend/app/data/sign_data\002,backend/app/data/sign_data\002_forg,[852]
3,230500370000000246913424,Ouali,Abdelmoula,85221.22,Actif,003,backend/app/data/sign_data\003,backend/app/data/sign_data\003_forg,"[994, 930, 555]"
4,230938160000000370370194,Youssef,Abdelhamid,98310.01,Inactif,004,backend/app/data/sign_data\004,backend/app/data/sign_data\004_forg,"[808, 601]"
5,230384680000000493826829,Housni,Chomeysa,88534.16,Actif,005,backend/app/data/sign_data\005,backend/app/data/sign_data\005_forg,[562]
6,230101810000000617283584,Senhaji,Yajjou,48324.09,Actif,006,backend/app/data/sign_data\006,backend/app/data/sign_data\006_forg,"[311, 207]"
7,230123440000000740740230,Mekkaoui,Hourma,25706.05,Actif,007,backend/app/data/sign_data\007,backend/app/data/sign_data\007_forg,[634]
8,230684510000000864196923,Hafid,Tamime,17736.3,Actif,008,backend/app/data/sign_data\008,backend/app/data/sign_data\008_forg,[219]
9,230316220000000987653612,Nour,Abdelkarim,43674.27,Inactif,009,backend/app/data/sign_data\009,backend/app/data/sign_data\009_forg,"[561, 159, 628]"
10,230777780000001111110362,Hamidi,Najah,34033.5,Actif,010,backend/app/data/sign_data\010,backend/app/data/sign_data\010_forg,[899]
11,230808190000001234567054,Mahfoud,Ghafour,67099.59,Inactif,011,backend/app/data/sign_data\011,backend/app/data/sign_data\011_forg,[473]
12,230930580000001358023729,Bouayad,Diab,45474.76,Actif,012,backend/app/data/sign_data\012,backend/app/data/sign_data\012_forg,"[359, 343]"
